Reef Name,NW Lat,NW Long,NE Lat,NE Long,SE Lat,SE Long,SW Lat,SW Long
Rockaway Reef,40.5455,-73.8535,40.5455,-73.832,40.53666667,-73.832,40.53666667,-73.8535
Atlantic Beach Reef,40.53366667,-73.72833333,40.53366667,-73.70666667,40.5255,-73.70666667,40.5255,-73.72833333
McAllister Grounds,40.53833333,-73.66166667,40.53833333,-73.65333333,40.535,-73.65333333,40.535,-73.66166667
Hempstead Reef,40.52083333,-73.55583333,40.525,-73.52283333,40.51533333,-73.52583333,40.51116667,-73.55866667
Fire Island Reef,40.60166667,-73.225,40.5455,-73.19166667,40.59333333,-73.19166667,40.59333333,-73.225
Yellowbar Reef,40.63256667,-73.24325,40.63418333,-73.23923333,40.6336,-73.23878333,40.63196667,-73.24281667
Kismet Reef,40.63566667,-73.21563333,40.6385,-73.20548333,40.63808333,-73.20528333,40.63525,-73.21543333
Moriches Reef,40.7245,-72.77733333,40.72566667,-72.77266667,40.7245,-72.77216667,40.72333333,-72.77691667
Shinnecock Reef,40.80278333,-72.47778333,40.80361667,-72.47166667,40.80138333,-72.47221667,40.80055,-72.47861667
Smithtown Reef,40.93291667,-73.18616667,40.93341667,-73.1845,40.93258333,-73.18391667,40.932,-73.18566667
Matinecock Reef,40.90965,-73.62901667,40.91148333,-73.62083333,40.90968333,-73.62016667,40.90798333,-73.62835
