FID,x_centroid,y_centroid,Name,Label
0,-73.8427963,40.5410995,Rockaway Reef,Rockaway
1,-73.7174988,40.5295982,Atlantic Beach Reef,Atlantic Beach
2,-73.6575012,40.5367012,McAllister Grounds,McAllister Grounds
3,-73.540802,40.5181007,Hempstead Reef,Hempstead
4,-72.7748032,40.7244987,Moriches Reef,Moriches
5,-72.4750977,40.8021011,Shinnecock Reef,Shinnecock
6,-73.2082977,40.5974998,Fire Island Reef,Fire Island
7,-73.2105026,40.6369019,Kismet Reef,Kismet
8,-73.6244965,40.9096985,Matinecock Reef,Matinecock
9,-73.2405014,40.6332016,Yellowbar Reef,Yellowbar
10,-73.1850967,40.9327011,Smithtown Reef,Smithtown
